source,target
Onda,Ratnapur
Onda,Kalyani
Onda,Medinipur
Onda,Onda II
Onda,Santor
Onda,Kantabari
Onda,Nakaijuri
Onda,Punisole
Saltora,Bamuntor
Saltora,Gogra
Saltora,Pabra
Saltora,Dhekia
Saltora,Kanuri
Saltora,Salma
Saltora,Tiluri
Khatra,Indpur
Indpur,Brahmandiha
Indpur,Gaurbazar
Indpur,Veduasol
Indpur,Brojrajpur
Indpur,Hatgram
Indpur,Raghunathpur
Khatra,Khatra Block
Khatra Block,Baidyanathpur
Khatra Block,Dhanarah
Khatra Block,Khatra Gram I
Khatra Block,Supur
Khatra Block,Dahala
Khatra Block,Gorabari
Khatra Block,Khatra Gram II
Khatra,Hirbandh
Hirbandh,Baharamuri
Hirbandh,Moshiara
Hirbandh,Gopalpur
Hirbandh,Maliyan
Khatra,Raipur
Raipur,Dhanarah
Raipur,Fulkusma
Raipur,Motgoda
Raipur,Sonagara
Raipur,Dheko
Raipur,Melera
Raipur,Dundar
Raipur,Mondaikuli
Raipur,Shyamsundarpur
Khatra,Sarenga
Sarenga,Bikrampur
Sarenga,Gargarla
Sarenga,Neturpur
Sarenga,Chittor
Sarenga,Goalbari
Khatra,Ranibandh
Ranibandh,Ambikanagar
Ranibandh,Haludkanali
Ranibandh,Rajakata
Ranibandh,Rautora
Ranibandh,Barikul
Ranibandh,Puddi
Ranibandh,Rudra
Khatra,Simlapal
Simlapal,Bikrampur
Simlapal,Lakshminagar
Simlapal,Mondalgram
Simlapal,Dubrajpur
Simlapal,Machatora
Simlapal,Parswala
Khatra,Taldangra
Taldangra,Amdangra
Taldangra,Harmasra
Taldangra,Saltora
Taldangra,Bibarda
Taldangra,Khalgram
Taldangra,Satmauli
Taldangra,Fulmati
Taldangra,Panchmura
Bishnupur,Indas
Indas,Akui I
Indas,Dighalgram
Indas,Karisunda
Indas,Sahaspur
Indas,Akui II
Indas,Indas I
Indas,Mongalpur
Indas,Amrui
Indas,Indas II
Indas,Rol
Bishnupur,Joypur
Joypur,Gelia
Joypur,Kuchiakol
Joypur,Salda
Joypur,Hetia
Joypur,Maynapur
Joypur,Shyamnagar
Joypur,Jagannathpur
Joypur,Rauthkanda
Joypur,Uttarbarh
Bishnupur,Patrasayar
Patrasayar,Balsi I
Patrasayar,Belut Rasulpur
Patrasayar,Jamkuri
Patrasayar,Balsi II
Patrasayar,Biur Betur
Patrasayar,Kushdwip
Patrasayar,Beersingha
Patrasayar,Hamirpur
Patrasayar,Narayanpur
Bishnupur,Kotulpur
Kotulpur,Deshrahkoyalpara
Kotulpur,Lego
Kotulpur,Mirzapur
Kotulpur,Gopinathpur
Kotulpur,Laugram
Kotulpur,madanmohanpur
Kotulpur,Sihar
Bishnupur,Sonamukhi
Sonamukhi,Coochdihi
Sonamukhi,Dihipara
Sonamukhi,Panchal
Sonamukhi,Radhamohanpur
Sonamukhi,Dhansimla
Sonamukhi,Hamirhati
Sonamukhi,Piarbera
Sonamukhi,Dhulai
Sonamukhi,Manikbazar
Sonamukhi,Purbanabasan
Bishnupur,Bishnupur Block
Bishnupur Block,Ayodhya
Bishnupur Block,Bhara
Bishnupur Block,Morar
Bishnupur Block,Bankadaha
Bishnupur Block,Dwarika Gossainpur
Bishnupur Block,Radhanagar
Bishnupur Block,Belsulia
Bishnupur Block,Layekbandh
Bishnupur Block,Uliyara
Asansol,Barabani
Barabani,Baraboni
Barabani,Itapara
Barabani,Nuni
Barabani,Panuria
Barabani,Domohani
Barabani,Jamgram
Barabani,Panchgechhia
Barabani,Punchrah
Asansol,Jamuria
Jamuria,Bahadurpur
Jamuria,Dobrana
Jamuria,Madantor
Jamuria,Tapsi
Jamuria,Chinchuria
Jamuria,Hijalgara
Jamuria,Parasia
Jamuria,Churulia
Jamuria,Kenda
Jamuria,Shyamla
Asansol,Raniganj
Raniganj,Amrasota
Raniganj,Egra
Raniganj,Ratibati
Raniganj,Ballavpur
Raniganj,Jemeri
Raniganj,Tirat
Asansol,Salanpur
Salanpur,Achhra
Salanpur,Dendua
Salanpur,Fulberia Bolkunda
Salanpur,Alladi
Salanpur,Ethora
Salanpur,Rupnarayanpur
Salanpur,Basudevpur Jemari
Salanpur,Jitpur-Uttarrampur
Salanpur,Kalya Samdi
Durgapur,Durgapur Faridpur
Durgapur Faridpur,Gaurbazar
Durgapur Faridpur,Ichhapur
Durgapur Faridpur,Laudoha
Durgapur Faridpur,Gogla
Durgapur Faridpur,Jemua
Durgapur Faridpur,Pratappur
Durgapur,Galsi I
Galsi I,Budbud
Galsi I,Laopur Krishnarampur
Galsi I,Paraj
Galsi I,Uchchagram
Galsi I,Chaktentul
Galsi I,Potna Pursa
Galsi I,Loa Ramgopalpur
Galsi I,Mankar
Galsi I,Serorai
Durgapur,Kanksa
Kanksa,Amlajora
Kanksa,Bidbehar
Kanksa,Trilokchandrapur
Kanksa,Bankati
Kanksa,Gopalpur
Kanksa,Molandighi
Durgapur,Andal
Andal,Kajora
Andal,Madanpur
Andal,Sreerampur
Andal,Dakshinkhanda
Andal,Khandara
Andal,Ramprasadpur
Andal,Ukhra
Durgapur,Pandabeswar
Pandabeswar,Baidyanathpur
Pandabeswar,Chhora
Pandabeswar,Kendra
Pandabeswar,Behula
Pandabeswar,Haripur
Pandabeswar,Nabagram
Kalna,Kalna I
Kalna I,Afghoria Simlan
Kalna I,Dhatrigram
Kalna I,Krishnadevpur
Kalna I,Baghnapara
Kalna I,Hatkalna
Kalna I,Nandai
Kalna I,Begpur
Kalna I,Kankuria
Kalna I,Sultanpur
Kalna,Kalna II
Kalna II,Aklapaus
Kalna II,Badia
Kalna II,Baradhamas
Kalna II,Pindira
Kalna II,Anukhal
Kalna II,Baidyapur
Kalna II,Kalyanpur
Kalna II,Satgacchi
Kalna,Manteswar
Manteswar,Baghson
Manteswar,Kusumgram
Manteswar,Vagra Nukgram
Manteswar,Bamanpura
Manteswar,Majhergram
Manteswar,Pipalan
Manteswar,Denur
Manteswar,Mamudpur I
Manteswar,Putsuri
Manteswar,Jamna
Manteswar,Mamudpur II
Manteswar,Shushunia
Kalna,Purbasthali I
Purbasthali I,Bogpur
Purbasthali I,Jahannagar
Purbasthali I,Nasratpur
Purbasthali I,Sreerampur
Purbasthali I,Dogachhia
Purbasthali I,Nadanghat
Purbasthali I,Samudragarh
Kalna,Purbasthali II
Purbasthali II,Jhaudanga
Purbasthali II,Majdia
Purbasthali II,Nimdaha
Purbasthali II,Purbasthali
Purbasthali II,Kalekhantala I
Purbasthali II,Mertala
Purbasthali II,Patuli
Purbasthali II,Kalekhantala II
Purbasthali II,Muksimpara
Purbasthali II,Pilla
Katwa,Katwa I
Katwa I,Alampur
Katwa I,Karajgram
Katwa I,Sargram
Katwa I,Gidhagram
Katwa I,Khajurdihi
Katwa I,Sreekhanda
Katwa I,Goai
Katwa I,Koshigram
Katwa I,Sudpur
Katwa,Katwa II
Katwa II,Agradwip
Katwa II,Jagadanandspur
Katwa II,Palsona
Katwa II,Sreebati
Katwa II,Gazipur
Katwa II,Karui
Katwa II,Singi
Katwa,Ketugram I
Ketugram I,Agardanga
Ketugram I,Berugram
Ketugram I,Murgram Gopalpur
Ketugram I,Pandugram
Ketugram I,Ankhona
Ketugram I,Jyandas Kandara
Ketugram I,Palita
Ketugram I,Rajur
Katwa,Ketugram II
Ketugram II,Billeswar
Ketugram II,Ketugram
Ketugram II,Nabagram
Ketugram II,Sitahati
Ketugram II,Gangatikuri
Ketugram II,Maugram
Ketugram II,Nirol
Katwa,Mogolkote
Mogolkote,Bhalugram
Mogolkote,Jhilu II
Mogolkote,Lakhuria
Mogolkote,Paligram
Mogolkote,Chanak
Mogolkote,Kalchar I
Mogolkote,Majigram
Mogolkote,Shimulla I
Mogolkote,Gotistha
Mogolkote,Kaichar II
Mogolkote,Mongalkot
Mogolkote,Shimula II
Mogolkote,Jhilu I
Mogolkote,Kshirgram
Mogolkote,Nigan
Bardhaman Sadar North,Ausgram I
Ausgram I,Ausgram
Ausgram I,Billagram
Ausgram I,Dignagar II
Ausgram I,Ukta
Ausgram I,Berenda
Ausgram I,Dignagar I
Ausgram I,Guskura II
Bardhaman Sadar North,Ausgram II
Ausgram II,Amarpur
Ausgram II,Eral
Ausgram II,Ramnagar
Ausgram II,Vedia
Ausgram II,Debshala
Ausgram II,Kota
Ausgram II,Valki
Bardhamn Sadar North,Bhatar
Bhatar,Amarun I
Bhatar,Banpash
Bhatar,Eruar
Bhatar,Sahebganj I
Bhatar,Amarun II
Bhatar,Barabeloon I
Bhatar,Mahachanda
Bhatar,Sahebganj II
Bhatar,Bolgona
Bhatar,Barabeloon II
Bhatar,Mahata
Bhatar,Bamunara
Bhatar,Nityanandapur
Bardhaman Sadar North,Burdwan I
Burdwan I,Baghar I
Burdwan I,Belkash
Burdwan I,Rayan I
Burdwan I,Baghar II
Burdwan I,Kshetia
Burdwan I,Rayan II
Burdwan I,Bandul I
Burdwan I,Kurmun I
Burdwan I,Saraitikar
Bardhaman Sadar North,Burdwan II
Burdwan II,Baikunthapur I
Burdwan II,Barasul I
Burdwan II,Kurmun II
Burdwan II,Baikunthapur II
Burdwan II,Barasul II
Burdwan II,Nabastha I
Burdwan II,Bandul II
Burdwan II,Gobindapur
Burdwan II,Nabastha II
Bardhaman Sadar North,Galsi II
Galsi II,Adra
Galsi II,Gohogram
Galsi II,Maszidpur
Galsi II,Bhunri
Galsi II,Khano
Galsi II,Sanko
Galsi II,Galsi
Galsi II,Kurkuba
Galsi II,Satinandi
Bardhaman Sadar South,Khandaghosh
Khandaghosh,Berugram
Khandaghosh,Shankari I
Khandaghosh,Ukhrid
Khandaghosh,Gopalbera
Khandaghosh,Lodna
Khandaghosh,Shankari II
Khandaghosh,Kalyar
Khandaghosh,Sagrai
Khandaghosh,Sasanga
Bardhaman Sadar South,Jamalpur
Jamalpur,Abujhati I
Jamalpur,Chakdighi
Jamalpur,Jarogram
Jamalpur,Paratal II
Jamalpur,Abujhati II
Jamalpur,Jamalpur I
Jamalpur,Jyotsreeram
Jamalpur,Ajhapur
Jamalpur,Jamalpur II
Jamalpur,Panchrah
Jamalpur,Berugram
Jamalpur,Jaugram
Jamalpur,Paratal I
Bardhaman Sadar South,Memari I
Memari I,Amadpur
Memari I,Daluibazar II
Memari I,Gop Gantar I
Memari I,Nimo II
Memari I,Bagila
Memari I,Debipur
Memari I,Gop Gantar II
Memari I,Daluibazar I
Memari I,Durgapur
Memari I,Nimo I
Bardhaman Sadar South,Memari II
Memari II,Bara Palasar I
Memari II,Bijur II
Memari II,Kuchut
Memari II,Bara Palasan II
Memari II,Bohar I
Memari II,Satgachhla I
Memari II,Bijur I
Memari II,Bohar II
Memari II,Satgachhla II
Bardhaman Sadar South,Raina I
Raina I,Hijalna
Raina I,Narugram
Raina I,Palsona
Raina I,Sehara
Raina I,Mugura
Raina I,Natu
Raina I,Raina
Raina I,Shyamsundar
Bardhaman Sadar South,Raina II
Raina II,Arui
Raina II,Gotan
Raina II,Pahalanpur
Raina II,Painta II
Raina II,Barabainan
Raina II,Kaiti
Raina II,Painta I
Raina II,Uchalan
Suri Sadar,Suri I
Suri I,Alunda
Suri I,Karidhya
Suri I,Mallickpur
Suri I,Tilpara
Suri I,Bhurkuna
Suri I,Khatanga
Suri I,Nagari
Suri Sadar,Suri II
Suri II,Abinashpur
Suri II,Domdoma
Suri II,Koma
Suri II,Banshanka
Suri II,Kendua
Suri II,Purandarpur
Suri Sadar,Saithiya
Saithiya,Ahmadpur
Saithiya,Ahmedpur
Saithiya,Banagram
Saithiya,Horosara
Saithiya,Panrui
Saithiya,Bhromorkol
Saithiya,Deriapur
Saithiya,Hatora
Saithiya,Sangra
Saithiya,Amarpur
Saithiya,Fulur
Saithiya,Mathpalsa
Saithiya,Sreenidhipur
Suri Sadar,Dubrajpur
Dubrajpur,Balijuri
Dubrajpur,Hetampur
Dubrajpur,Loba
Dubrajpur,Sahapur
Dubrajpur,Chinpai
Dubrajpur,Jashpur
Dubrajpur,Paduma
Dubrajpur,Gohaliara
Dubrajpur,Laxmi Narayanpur
Dubrajpur,Parulia
Dubrajpur,Illambazar
Dubrajpur,Sadiapur
Dubrajpur,Dubrajpur
Suri Sadar,Khayrashol
Khayrashol,Babuijore
Khayrashol,Kendgore
Khayrashol,Nakrakonda
Khayrashol,Rupuspur
Khayrashol,Barrah
Khayrashol,Khoyrasole
Khayrashol,Panchra
Khayrashol,Hazratpur
Khayrashol,Lokepur
Khayrashol,Parsundi
Suri Sadar,Rajnagar
Rajnagar,Bhabanipur
Rajnagar,Gangmuri Joypur
Rajnagar,Tantipara
Rajnagar,Chandrapur
Suri Sadar,Mahammad Bazar
Mahammad Bazar,Angargaria
Mahammad Bazar,Charicha
Mahammad Bazar,Hinglow
Mahammad Bazar,Puranagram
Mahammad Bazar,Bharkata
Mahammad Bazar,Deucha
Mahammad Bazar,Kapista
Mahammad Bazar,Rampur
Mahammad Bazar,Bhutura
Mahammad Bazar,Gonpur
Mahammad Bazar,Mahamadbazar
Mahammad Bazar,Sekedda
Bolpur,Bolpur Sriniketan
Bolpur Sriniketan,Bahiri Panchshowa
Bolpur Sriniketan,Raipur Supur
Bolpur Sriniketan,Sarpalehana Albandha
Bolpur Sriniketan,Singhee
Bolpur Sriniketan,Kankalitala
Bolpur Sriniketan,Ruppur
Bolpur Sriniketan,Kasba
Bolpur Sriniketan,Sattor
Bolpur Sriniketan,Sian Muluk
Bolpur,Ilambazar
Ilambazar,Batikar
Ilambazar,Ghurisha
Ilambazar,Mongoldihi
Ilambazar,Belati
Ilambazar,Nanasole
Ilambazar,Dharampur
Ilambazar,Joydev Kenduli
Ilambazar,Sirsha
Bolpur,Labhpur
Labhpur,Bipratikuri
Labhpur,Dwaraka
Labhpur,Jamna
Labhpur,Labpur II
Labhpur,Chauhatta Mahodari I
Labhpur,Hatia
Labhpur,Krunnahar
Labhpur,Thiba
Labhpur,Chauhatta Mahodari II
Labhpur,Indus
Labhpur,Labpur I
Bolpur,Nanoor
Nanoor,Bara Saota
Nanoor,Daskalgram Kareya I
Nanoor,Chandidas Nanoor
Nanoor,Daskalgram Kareya II
Nanoor,Kirnahar II
Nanoor,Kirnahar I
Nanoor,Thupsura
Nanoor,Uchkaran
Nanoor,Charkalgram
Nanoor,Jalundi
Nanoor,Nawanagar Kadda
Rampurhat,Mayureswar I
Mayureswar I,Baraturigram
Mayureswar I,Dakshinagram
Mayureswar I,Mollarpur I
Mayureswar I,Bajitpur
Mayureswar I,Jhikodda
Mayureswar I,Mollarpur II
Mayureswar I,Dabuk
Mayureswar I,Kanachi
Mayureswar I,Talowan
Rampurhat,Mayureswar II
Mayureswar II,Daspalsa
Mayureswar II,Kaleswar
Mayureswar II,Mayureswar
Mayureswar II,Ulkunda
Mayureswar II,Dheka
Mayureswar II,Kundola
Mayureswar II,Satpalsa
Rampurhat,Rampurhat I
Rampurhat I,Ayas
Rampurhat I,Dakhalbati
Rampurhat I,Kusumba
Rampurhat I,Bonhat
Rampurhat I,Kasthgora
Rampurhat I,Mashra
Rampurhat I,Barshal
Rampurhat I,Kharun
Rampurhat I,Narayanpur
Rampurhat,Rampurhat II
Rampurhat II,Bishnupur
Rampurhat II,Hansan I
Rampurhat II,Margram I
Rampurhat II,Budhigram
Rampurhat II,Hansan II
Rampurhat II,Dunigram
Rampurhat II,Kaluha
Rampurhat II,Sahapur
Rampurhat,Murarai I
Murarai I,Chatra
Murarai I,Gorsha
Murarai I,Murarai
Murarai I,Rajgram
Murarai I,Dumurgram
Murarai I,Maurapur
Murarai I,Palsa
Rampurhat,Murarai II
Murarai II,Amdole
Murarai II,Kushmore II
Murarai II,Palkar I
Murarai II,Jajigram
Murarai II,Mitrapur
Murarai II,Pikar II
Murarai II,Kushmore I
Murarai II,Nandigram
Murarai II,Rudranagar
Rampurhat,Nalhati I
Nalhati I,Banior
Nalhati I,Haridaspur
Nalhati I,Kaitha II
Nalhati I,Barla
Nalhati I,Kalitha
Nalhati I,Kurumgram
Nalhati I,Bautia
Nalhati I,Kaitha I
Nalhati I,Paikpara
Rampurhat,Naihati II
Naihati II,Bara I
Naihati II,Bhadrapur I
Naihati II,Noapara
Naihati II,Bara II
Naihati II,Bhadrapur II
Naihati II,Shitalgram
Qatar,Al wakair
Qatar,Abu az Zuluf
Qatar,Abu Thaylah
Qatar,Ad Dawhah al Jadidah
Qatar,Al Arish
Qatar,Al Bida ash Sharqiyah
Qatar,Al Ghanim
Qatar,Al Ghuwariyah
Qatar,Al Hilal al Gharbiyah
Qatar,Al Hilal ash Sharqiyah
Qatar,Al Hitmi
Qatar,Al Jasrah
Qatar,Al Jumaliyah
Qatar,Al Kabiyah
Qatar,Al Khalifat
Qatar,Al Khor
Qatar,Al Khuwayr
Qatar,Al Luqta
Qatar,Al Mafjar
Qatar,Al Qaabiyah
Qatar,Al Wakrah
Qatar,Al Adhbah
Qatar,An Najmah
Qatar,Ar Rakiyat
Qatar,Al Rahyyan
Qatar,Ar Ruays
Qatar,As Salatah
Qatar,As Salatah al Jadidah
Qatar,As Sani
Qatar,As Sawq
Qatar,Ath Thaqab
Qatar,Doha
Qatar,Dukhan
Qatar,Lusail
Qatar,Ras Laffan Industrial City
Qatar,Smaismah
Qatar,Umm Bab
Qatar,Umm Said
Qatar,Umm Salal Ali
Qatar,Umm Salal Mohammed
Switzerland,Lugano
Switzerland,Bern
Switzerland,Luzern
Switzerland,Zurich
United Arab Emirates,Abu Dhabi
United Arab Emirates,Al Ain
United Arab Emirates,Al Awdah
United Arab Emirates,Al Fahlaiyn
United Arab Emirates,Al Fulayyah
United Arab Emirates,Al Faraa'
United Arab Emirates,Al Ghabah
United Arab Emirates,Al Ghaban
United Arab Emirates,Al Ghashban
United Arab Emirates,Al Hamraniya
United Arab Emirates,Al Hamriya
United Arab Emirates,Al Hayba
United Arab Emirates,Al Hayl
United Arab Emirates,Al Hayr
United Arab Emirates,Al Hayrah
United Arab Emirates,Al Hulaylah
United Arab Emirates,Al Jaddah
United Arab Emirates,Al Khari
United Arab Emirates,Al Khashfah
United Arab Emirates,Al Mahamm
United Arab Emirates,Al Masafirah
United Arab Emirates,Al Mataf
United Arab Emirates,Al Mu'amurah
United Arab Emirates,Al Naslah
United Arab Emirates,Al Qir
United Arab Emirates,Al Quwayz
United Arab Emirates,Al Usayli
United Arab Emirates,Al Yahar
United Arab Emirates,Al Rafa'ah
United Arab Emirates,Arthaban
United Arab Emirates,Athabat
United Arab Emirates,Ash Sha'm
United Arab Emirates,As Sur
United Arab Emirates,Awanat
United Arab Emirates,Baqal
United Arab Emirates,Bidiyah
United Arab Emirates,Daftah
United Arab Emirates,Dhadna
United Arab Emirates,Dibba Al-Fujairah
United Arab Emirates,Dibba Al-Hisn
United Arab Emirates,Dubai
United Arab Emirates,Fujairah
United Arab Emirates,Kalba
United Arab Emirates,Kawr Fakkan
United Arab Emirates,Mina Jabal Ali
United Arab Emirates,Mina Saqr
United Arab Emirates,Mina Zayid
United Arab Emirates,Ras al-Khaimah
United Arab Emirates,Umm al-Qaiwain
United Arab Emirates,Qutuf
United Arab Emirates,Ruwais
United Arab Emirates,Sharjah
United Arab Emirates,Sila
